,,,,,,,,,,,
Free Android VPN Security Risks: 100 Apps Tested,,,,,,,,,,,
Author: Simon Migliano,,,,,,,,,,,
"Free Android VPN Security Risks
",,,,,,,,,,,
Top10VPN.com,,,,,,,,,,,
,,,,,,,,,,,
App Id,App Name,ID,Installs,App Rating,Developer Name,Developer Address,Developer Email,Release Date,App Version Tested,Play Store Listing URL,Archive URL
com.fast.free.unblock.secure.vpn,Secure VPN－Safer Internet,1,"166,114,844",4.74,Signal Lab,"1000 Fremont Ave #1, Alhambra, CA 91803 US",secure-vpn@free-signal.com,"Mar 16, 2018",4.2.1,https://play.google.com/store/apps/details?id=com.fast.free.unblock.secure.vpn&hl=en&gl=us,https://web.archive.org/web/20240124112133/https://play.google.com/store/apps/details?id=com.fast.free.unblock.secure.vpn&hl=en&gl=us
free.vpn.unblock.proxy.turbovpn,Turbo VPN - Secure VPN Proxy,2,"335,180,287",4.69,Innovative Connecting,8 MARINA VIEW #42-099 ASIA SQUARE TOWER 1 SINGAPORE 018960,turbovpn@inconnecting.com,"Jun 21, 2016",4.0.4,https://play.google.com/store/apps/details?id=free.vpn.unblock.proxy.turbovpn&hl=en&gl=us,https://web.archive.org/web/20240124112021/https://play.google.com/store/apps/details?id=free.vpn.unblock.proxy.turbovpn&hl=en&gl=us
com.fast.free.unblock.thunder.vpn,"Thunder VPN - Fast, Safe VPN",3,"91,602,375",4.79,Signal Lab,"1000 Fremont Ave #1, Alhambra, CA 91803 US",thunder-vpn@free-signal.com,"Nov 3, 2017",5.2.1,https://play.google.com/store/apps/details?id=com.fast.free.unblock.thunder.vpn&hl=en&gl=us,https://web.archive.org/web/20240124112021/https://play.google.com/store/apps/details?id=com.fast.free.unblock.thunder.vpn&hl=en&gl=us
com.satoshi.vpns,VPN Satoshi,4,"328,059",4.15,VPN SATOSHI,,info@vpnsatoshi.com,"Jul 1, 2023",2.2.92,https://play.google.com/store/apps/details?id=com.satoshi.vpns&hl=en&gl=us,https://web.archive.org/web/20240124113318/https://play.google.com/store/apps/details?id=com.satoshi.vpns&hl=en&gl=us
com.free.vpn.super.hotspot.open,VPN - Super Unlimited Proxy,5,"92,754,286",4.59,VPN Super Inc,"541 Jefferson Ave, Ste. 100, Redwood City, CA 94063",contact@mobilejump.info,"Apr 5, 2020",1.32.4,https://play.google.com/store/apps/details?id=com.free.vpn.super.hotspot.open&hl=en&gl=us,https://web.archive.org/web/20240124112134/https://play.google.com/store/apps/details?id=com.free.vpn.super.hotspot.open&hl=en&gl=us
com.security.xvpn.z35kb,X-VPN - Private Browser VPN,6,"49,468,998",4.27,Free Connected Limited.,"ROOM 1003, 10/F, TOWER 1 LIPPO CENTRE, 89 QUEENSWAY, ADMIRALTY HK",support@xvpn.io,"Jun 29, 2017",198,https://play.google.com/store/apps/details?id=com.security.xvpn.z35kb&hl=en&gl=us,https://web.archive.org/web/20240124112129/https://play.google.com/store/apps/details?id=com.security.xvpn.z35kb&hl=en&gl=us
com.sticktoit,Wang VPN - Fast Secure VPN,7,"4,235,397",4.70,老王,wangvpn666@gmail.com,wangvpn666@gmail.com,"Jul 24, 2020",2.2.28,https://play.google.com/store/apps/details?id=com.sticktoit&hl=en&gl=us,https://web.archive.org/web/20240312151331/https://play.google.com/store/apps/details?id=com.sticktoit&hl=en&gl=us
com.urbanvpn.android,Urban VPN proxy Unblocker,8,"5,287,940",4.57,Urban VPN,,developer@urban-vpn.com,"Jun 20, 2019",1.0.80,https://play.google.com/store/apps/details?id=com.urbanvpn.android&hl=en&gl=us,https://web.archive.org/web/20240124113309/https://play.google.com/store/apps/details?id=com.urbanvpn.android&hl=en&gl=us
